client_id,group,journeys,completed_journeys,completed,furthest_step,step_backs,repeated_steps,completion_time_s,effective_time_s,error_rate_a,error_rate_b,step_backs_per_journey,abandoned,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_band
6573375,Test,1,1,True,4,0,0,354.0,354.0,0.0,0.0,0.0,False,10.0,124.0,35.5,M,3.0,178089.77999999997,5.0,8.0,35-50
6573458,Test,1,1,True,4,0,1,1611.0,648.0,1.0,0.0,0.0,False,21.0,260.0,46.5,F,3.0,138678.95,4.0,7.0,35-50
6573672,Control,1,1,True,4,0,0,365.0,365.0,0.0,0.0,0.0,False,12.0,154.0,33.5,M,2.0,49519.13,0.0,3.0,<35
6573809,Test,1,1,True,4,0,0,339.0,339.0,0.0,0.0,0.0,False,15.0,180.0,57.5,M,3.0,288337.15,5.0,8.0,50-65
6574018,Test,1,1,True,4,0,0,119.0,119.0,0.0,0.0,0.0,False,14.0,178.0,38.5,F,2.0,64665.86,0.0,3.0,35-50
6574277,Control,1,0,False,3,0,0,,,0.0,0.0,0.0,True,20.0,251.0,67.0,F,2.0,101290.65,1.0,4.0,65+
6574408,Test,1,1,True,4,3,0,710.0,355.0,0.0,3.0,3.0,False,11.0,136.0,60.0,F,2.0,35516.259999999995,5.0,8.0,50-65
6574716,Control,3,2,True,4,1,5,741.0,472.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,False,26.0,322.0,60.5,M,3.0,1074136.66,6.0,9.0,50-65
6575347,Test,1,1,True,4,1,0,905.0,103.0,0.0,1.0,1.0,False,20.0,241.0,60.0,F,2.0,652354.16,0.0,3.0,50-65
6575393,Control,1,0,False,1,0,1,,,1.0,0.0,0.0,True,14.0,173.0,67.0,M,2.0,131409.59999999998,0.0,3.0,65+
6575520,Control,1,1,True,4,0,0,74.0,74.0,0.0,0.0,0.0,False,21.0,258.0,48.0,M,3.0,809411.8200000001,6.0,9.0,35-50
6575568,Control,3,0,False,3,1,1,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,10.0,121.0,85.0,F,2.0,41519.26,2.0,5.0,65+
6575899,Control,2,0,False,0,0,0,,,0.0,0.0,0.0,True,14.0,174.0,38.0,M,2.0,83414.45999999999,6.0,9.0,35-50
6576498,Test,1,1,True,4,1,0,442.0,103.0,0.0,1.0,1.0,False,7.0,91.0,56.5,U,2.0,24634.8,2.0,5.0,50-65
6576518,Test,1,1,True,4,0,0,98.0,98.0,0.0,0.0,0.0,False,6.0,73.0,25.5,U,2.0,42292.86,2.0,5.0,<35
6576648,Control,1,1,True,4,0,2,442.0,305.0,2.0,0.0,0.0,False,7.0,92.0,35.5,U,2.0,57700.61,0.0,3.0,35-50
6576739,Test,1,1,True,4,6,0,1028.0,584.0,0.0,6.0,6.0,False,14.0,170.0,51.5,M,2.0,97473.42,0.0,3.0,50-65
6576742,Test,1,1,True,4,0,0,900.0,900.0,0.0,0.0,0.0,False,12.0,146.0,66.5,M,2.0,383102.42,3.0,6.0,65+
6576898,Control,1,1,True,4,0,0,181.0,181.0,0.0,0.0,0.0,False,13.0,166.0,33.0,M,2.0,34946.42,0.0,3.0,<35
6577021,Test,1,0,False,0,0,0,,,0.0,0.0,0.0,True,5.0,68.0,36.0,F,4.0,42213.42,0.0,3.0,35-50
6577121,Test,1,1,True,4,0,0,105.0,105.0,0.0,0.0,0.0,False,10.0,129.0,43.5,F,2.0,56247.49,0.0,3.0,35-50
6577144,Control,3,1,True,4,0,2,531.0,115.0,0.6666666666666666,0.0,0.0,False,11.0,142.0,70.5,F,2.0,241989.94,2.0,5.0,65+
6577157,Test,1,1,True,4,1,0,307.0,172.0,0.0,1.0,1.0,False,15.0,191.0,47.0,M,2.0,216650.41,3.0,6.0,35-50
6577234,Control,2,0,False,1,0,2,,,1.0,0.0,0.0,True,7.0,90.0,76.0,U,2.0,213424.05,5.0,8.0,65+
6577607,Control,1,1,True,4,0,0,360.0,360.0,0.0,0.0,0.0,False,10.0,120.0,59.5,M,2.0,88599.2,5.0,8.0,50-65
6577754,Control,3,0,False,1,0,0,,,0.0,0.0,0.0,True,13.0,167.0,71.0,M,2.0,77873.31,6.0,9.0,65+
6578023,Control,1,0,False,2,0,0,,,0.0,0.0,0.0,True,5.0,69.0,35.0,U,2.0,52891.88,4.0,7.0,<35
6578074,Test,1,0,False,3,1,0,,,0.0,1.0,1.0,True,7.0,95.0,60.0,U,2.0,30193.51,3.0,6.0,50-65
6578081,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,22.0,275.0,47.0,M,2.0,79062.81,0.0,3.0,35-50
6578585,Control,2,1,True,4,0,0,227.0,227.0,0.0,0.0,0.0,False,5.0,70.0,32.5,U,3.0,300077.24,4.0,7.0,<35
6578740,Control,2,0,False,0,0,0,,,0.0,0.0,0.0,True,13.0,158.0,41.0,M,3.0,228999.29,4.0,8.0,35-50
6578768,Control,1,1,True,4,0,0,195.0,195.0,0.0,0.0,0.0,False,17.0,213.0,44.5,F,2.0,59290.9,2.0,5.0,35-50
6578879,Test,1,1,True,4,1,1,341.0,248.0,1.0,1.0,1.0,False,12.0,155.0,49.5,F,2.0,107526.75,2.0,6.0,35-50
6578914,Test,1,1,True,4,0,0,175.0,175.0,0.0,0.0,0.0,False,13.0,162.0,49.5,M,3.0,135979.52000000002,4.0,7.0,35-50
6579097,Control,3,1,True,4,0,1,584.0,87.0,0.3333333333333333,0.0,0.0,False,11.0,143.0,71.5,M,2.0,655980.87,3.0,6.0,65+
6579110,Control,2,1,True,4,0,0,570.0,570.0,0.0,0.0,0.0,False,21.0,261.0,58.0,M,3.0,356741.22,5.0,8.0,50-65
6579246,Control,1,0,False,1,1,1,,,1.0,1.0,1.0,True,13.0,159.0,25.0,M,2.0,73561.43,0.0,3.0,<35
6579345,Test,1,1,True,4,0,2,1118.0,562.0,2.0,0.0,0.0,False,10.0,124.0,69.5,F,2.0,97817.92,5.0,8.0,65+
6579408,Control,1,1,True,4,0,0,181.0,181.0,0.0,0.0,0.0,False,6.0,76.0,29.5,U,2.0,38825.96,0.0,3.0,<35
6579471,Control,1,1,True,4,0,0,197.0,197.0,0.0,0.0,0.0,False,16.0,192.0,56.5,M,3.0,263595.76,6.0,9.0,50-65
